Timestamp,Player,Punches,Kicks,Movement_X,Movement_Y
1753515355.8181503,Player1,0,0,0,0
1753515355.8181503,Player2,0,0,0,0
1753515356.331809,Player1,0,1,7,-4
1753515356.331809,Player2,1,0,7,-4
1753515356.4738872,Player1,1,1,7,-6
1753515356.4738872,Player2,2,0,7,-6
1753515356.6327295,Player1,1,2,9,-6
1753515356.6327295,Player2,3,0,9,-6
1753515356.7756245,Player1,1,2,-40,-3
1753515356.7756245,Player2,4,0,-40,-3
1753515356.9029872,Player1,1,2,7,-2
1753515356.9029872,Player2,5,0,7,-2
1753515357.0302622,Player1,1,2,11,3
1753515357.0302622,Player2,5,1,11,3
1753515357.1572628,Player1,1,2,9,3
1753515357.1572628,Player2,5,2,9,3
1753515357.2990701,Player1,1,2,32,0
1753515357.2990701,Player2,5,2,32,0
1753515357.442292,Player1,1,2,-23,-1
1753515357.442292,Player2,6,2,-23,-1
1753515357.5702918,Player1,1,2,8,0
1753515357.5702918,Player2,6,2,8,0
1753515357.697315,Player1,1,2,36,0
1753515357.697315,Player2,6,2,36,0
1753515357.8223445,Player1,1,2,-25,-2
1753515357.8223445,Player2,7,2,-25,-2
1753515357.949761,Player1,1,2,2,-2
1753515357.949761,Player2,7,2,2,-2
1753515358.0756974,Player1,1,2,36,-4
1753515358.0756974,Player2,8,2,36,-4
1753515358.2012763,Player1,1,2,-3,-6
1753515358.2012763,Player2,9,2,-3,-6
1753515358.3267422,Player1,1,2,-3,-5
1753515358.3267422,Player2,10,2,-3,-5
1753515358.4542687,Player1,1,2,-33,-5
1753515358.4542687,Player2,11,2,-33,-5
1753515358.5814745,Player1,1,3,22,-3
1753515358.5814745,Player2,12,2,22,-3
1753515358.708817,Player1,1,3,4,-2
1753515358.708817,Player2,12,2,4,-2
1753515358.8339899,Player1,1,3,-4,-3
1753515358.8339899,Player2,12,2,-4,-3
1753515358.9601746,Player1,1,3,-31,-1
1753515358.9601746,Player2,13,2,-31,-1
1753515359.0719163,Player1,1,3,23,0
1753515359.0719163,Player2,13,2,23,0
1753515359.1838255,Player1,1,3,-8,1
1753515359.1838255,Player2,13,3,-8,1
1753515359.3112319,Player1,1,3,-9,4
1753515359.3112319,Player2,13,4,-9,4
1753515359.4381828,Player1,1,3,-8,5
1753515359.4381828,Player2,13,5,-8,5
1753515359.563699,Player1,1,3,-6,4
1753515359.563699,Player2,13,6,-6,4
1753515359.6895278,Player1,1,3,-5,3
1753515359.6895278,Player2,13,7,-5,3
1753515359.800528,Player1,1,3,-21,1
1753515359.800528,Player2,13,8,-21,1
1753515359.910272,Player1,1,3,13,-1
1753515359.910272,Player2,14,8,13,-1
1753515360.0376246,Player1,1,3,-1,0
1753515360.0376246,Player2,14,8,-1,0
1753515360.1651776,Player1,2,3,190,-364
1753515360.1651776,Player2,15,8,190,-364
1753515360.2932894,Player1,2,3,-3,-1
1753515360.2932894,Player2,15,8,-3,-1
1753515360.4180245,Player1,2,3,0,0
1753515360.4180245,Player2,15,8,0,0
1753515360.5435064,Player1,2,3,-166,371
1753515360.5435064,Player2,15,9,-166,371
1753515360.6682441,Player1,2,3,6,-2
1753515360.6682441,Player2,16,9,6,-2
1753515360.7952454,Player1,2,3,5,-3
1753515360.7952454,Player2,17,9,5,-3
1753515360.9216099,Player1,2,3,6,-4
1753515360.9216099,Player2,18,9,6,-4
1753515361.0488133,Player1,2,3,4,-5
1753515361.0488133,Player2,19,9,4,-5
1753515361.1751766,Player1,2,3,0,-7
1753515361.1751766,Player2,20,9,0,-7
1753515361.3018532,Player1,2,3,-1,-7
1753515361.3018532,Player2,21,9,-1,-7
1753515361.4285529,Player1,2,4,-4,-6
1753515361.4285529,Player2,22,9,-4,-6
1753515361.553608,Player1,2,5,-3,-3
1753515361.553608,Player2,22,9,-3,-3
1753515361.6656528,Player1,2,5,-4,-1
1753515361.6656528,Player2,22,9,-4,-1
1753515361.7935922,Player1,2,5,-8,1
1753515361.7935922,Player2,22,10,-8,1
1753515361.9185581,Player1,2,6,-8,0
1753515361.9185581,Player2,22,10,-8,0
1753515362.0453825,Player1,2,7,-9,1
1753515362.0453825,Player2,22,11,-9,1
1753515362.1713843,Player1,2,7,-12,0
1753515362.1713843,Player2,22,11,-12,0
1753515362.2983863,Player1,2,7,-10,1
1753515362.2983863,Player2,22,12,-10,1
1753515362.4416282,Player1,2,8,-12,1
1753515362.4416282,Player2,22,13,-12,1
1753515362.5680606,Player1,3,8,-14,1
1753515362.5680606,Player2,22,14,-14,1
1753515362.694554,Player1,3,9,-12,2
1753515362.694554,Player2,22,15,-12,2
1753515362.820213,Player1,3,10,-16,3
1753515362.820213,Player2,22,16,-16,3
1753515362.9471774,Player1,3,11,-11,5
1753515362.9471774,Player2,22,17,-11,5
1753515363.0752468,Player1,3,12,-10,6
1753515363.0752468,Player2,22,18,-10,6
1753515363.2014008,Player1,3,13,-9,5
1753515363.2014008,Player2,22,19,-9,5
1753515363.3289175,Player1,3,14,-12,5
1753515363.3289175,Player2,22,20,-12,5
1753515363.4571333,Player1,3,15,-11,5
1753515363.4571333,Player2,22,21,-11,5
1753515363.5840292,Player1,3,16,-9,5
1753515363.5840292,Player2,22,22,-9,5
1753515363.7092738,Player1,3,17,-6,6
1753515363.7092738,Player2,22,23,-6,6
1753515363.8350408,Player1,3,18,-3,7
1753515363.8350408,Player2,22,24,-3,7
1753515363.9614427,Player1,4,18,-4,6
1753515363.9614427,Player2,22,25,-4,6
1753515364.089262,Player1,4,19,0,6
1753515364.089262,Player2,22,26,0,6
1753515364.2139804,Player1,5,19,0,6
1753515364.2139804,Player2,22,27,0,6
1753515364.3404908,Player1,6,19,8,4
1753515364.3404908,Player2,22,28,8,4
1753515364.452469,Player1,7,19,8,0
1753515364.452469,Player2,22,28,8,0
1753515364.5801377,Player1,8,19,11,-3
1753515364.5801377,Player2,23,28,11,-3
1753515364.7051523,Player1,9,19,6,-5
1753515364.7051523,Player2,24,28,6,-5
1753515364.8166132,Player1,10,19,3,-4
1753515364.8166132,Player2,24,28,3,-4
1753515364.9431188,Player1,11,19,3,-6
1753515364.9431188,Player2,25,28,3,-6
1753515365.0710797,Player1,12,19,1,-4
1753515365.0710797,Player2,25,28,1,-4
1753515365.197627,Player1,13,19,4,-4
1753515365.197627,Player2,26,28,4,-4
1753515365.3230958,Player1,14,19,3,-2
1753515365.3230958,Player2,26,28,3,-2
1753515365.4498267,Player1,15,19,3,-1
1753515365.4498267,Player2,26,28,3,-1
1753515365.5619402,Player1,16,19,2,-2
1753515365.5619402,Player2,26,28,2,-2
1753515365.6881433,Player1,17,19,2,-2
1753515365.6881433,Player2,26,28,2,-2
1753515365.8151045,Player1,17,19,5,-2
1753515365.8151045,Player2,27,28,5,-2
1753515365.9415314,Player1,18,19,5,-1
1753515365.9415314,Player2,28,28,5,-1
1753515366.0677464,Player1,18,20,3,-1
1753515366.0677464,Player2,28,28,3,-1
1753515366.2057729,Player1,18,21,2,-2
1753515366.2057729,Player2,28,28,2,-2
1753515366.3321087,Player1,18,22,2,-3
1753515366.3321087,Player2,28,28,2,-3
1753515366.4568481,Player1,19,22,2,-2
1753515366.4568481,Player2,28,28,2,-2
1753515366.5823882,Player1,19,23,4,-2
1753515366.5823882,Player2,28,28,4,-2
1753515366.6931975,Player1,19,24,5,-2
1753515366.6931975,Player2,29,28,5,-2
1753515366.8202596,Player1,19,25,6,-1
1753515366.8202596,Player2,30,28,6,-1
1753515366.9468179,Player1,19,25,7,0
1753515366.9468179,Player2,30,28,7,0
1753515367.07445,Player1,19,25,8,-1
1753515367.07445,Player2,31,28,8,-1
1753515367.1998408,Player1,19,25,4,-2
1753515367.1998408,Player2,31,28,4,-2
1753515367.327,Player1,19,25,2,-62
1753515367.327,Player2,32,28,2,-62
1753515367.438329,Player1,20,25,2,11
1753515367.438329,Player2,32,29,2,11
1753515367.566484,Player1,21,25,1,4
1753515367.566484,Player2,32,29,1,4
1753515367.6924927,Player1,22,25,-3,-4
1753515367.6924927,Player2,32,29,-3,-4
1753515367.816264,Player1,23,25,7,14
1753515367.816264,Player2,32,30,7,14
1753515367.942855,Player1,23,26,0,6
1753515367.942855,Player2,32,31,0,6
1753515368.0529306,Player1,24,26,1,8
1753515368.0529306,Player2,32,32,1,8
1753515368.179695,Player1,25,26,1,-3
1753515368.179695,Player2,32,32,1,-3
1753515368.3071365,Player1,25,27,-4,7
1753515368.3071365,Player2,32,33,-4,7
1753515368.4341958,Player1,26,27,6,-6
1753515368.4341958,Player2,33,33,6,-6
1753515368.5603259,Player1,26,27,1,-59
1753515368.5603259,Player2,34,33,1,-59
1753515368.685799,Player1,26,27,31,85
1753515368.685799,Player2,34,34,31,85
1753515368.8121104,Player1,26,27,9,1
1753515368.8121104,Player2,34,35,9,1
1753515368.9226878,Player1,26,28,36,0
1753515368.9226878,Player2,34,35,36,0
1753515369.0493717,Player1,27,28,-30,-1
1753515369.0493717,Player2,35,35,-30,-1
1753515369.1745253,Player1,27,28,-3,-1
1753515369.1745253,Player2,35,35,-3,-1
1753515369.3015983,Player1,27,28,-4,-1
1753515369.3015983,Player2,35,35,-4,-1
1753515369.4284608,Player1,28,28,-4,1
1753515369.4284608,Player2,35,35,-4,1
1753515369.5553098,Player1,29,28,-3,1
1753515369.5553098,Player2,35,35,-3,1
1753515369.680494,Player1,30,28,23,3
1753515369.680494,Player2,35,36,23,3
1753515369.8084915,Player1,31,28,-25,3
1753515369.8084915,Player2,35,37,-25,3
1753515369.9361413,Player1,31,28,-2,0
1753515369.9361413,Player2,35,37,-2,0
1753515370.0615356,Player1,31,28,24,0
1753515370.0615356,Player2,35,37,24,0
1753515370.1866584,Player1,31,29,-2,0
1753515370.1866584,Player2,35,37,-2,0
1753515370.3131542,Player1,31,29,-28,-1
1753515370.3131542,Player2,36,37,-28,-1
1753515370.439867,Player1,31,30,26,0
1753515370.439867,Player2,36,37,26,0
1753515370.5661879,Player1,31,31,-23,-1
1753515370.5661879,Player2,37,37,-23,-1
1753515370.6914828,Player1,31,31,4,0
1753515370.6914828,Player2,37,37,4,0
1753515370.8170128,Player1,31,31,26,0
1753515370.8170128,Player2,37,37,26,0
1753515370.9450412,Player1,32,31,-19,1
1753515370.9450412,Player2,37,38,-19,1
1753515371.070743,Player1,32,32,31,1
1753515371.070743,Player2,37,39,31,1
1753515371.1969314,Player1,33,32,7,2
1753515371.1969314,Player2,37,40,7,2
1753515371.3245254,Player1,34,32,-138,-358
1753515371.3245254,Player2,38,40,-138,-358
1753515371.4516213,Player1,35,32,-1,0
1753515371.4516213,Player2,38,40,-1,0
1753515371.5774562,Player1,36,32,-2,0
1753515371.5774562,Player2,38,40,-2,0
1753515371.7048101,Player1,36,32,-2,0
